country,year,population,population_growth_rate,fertility_rate,median_age,urban_population,population_density,continent,income_group
Brazil,1965,30906033423,3.41,7.19,20.3,24.7,4957.52,South America,Upper middle income
Bulgaria,1965,2346890975,3.24,7.13,20.8,23.2,1187.48,Europe,Upper middle income
Canada,1965,70363923,3.06,6.68,21.2,24.6,16.07,North America,High income
Chile,1965,3175365528,3.28,6.95,23.2,27.2,632.01,South America,High income
China,1965,42095961785,3.39,6.64,21.4,21.4,4572.94,Asia,Upper middle income
Colombia,1965,689600074,3.28,7.34,21.4,18.9,70.91,South America,Upper middle income
Croatia,1965,601990812,3.32,6.84,21.4,22.3,802.78,Europe,High income
Czech Republic,1965,597951695,3.45,6.84,20.3,23.0,77.78,Europe,High income
Denmark,1965,989210862,3.3,6.72,19.6,18.5,118.58,Europe,High income
Egypt,1965,1708583872,2.98,7.04,22.9,20.6,405.1,Africa,Lower middle income
Ethiopia,1965,1402586427,3.22,7.18,21.8,21.3,444.42,Africa,Lower middle income
Finland,1965,948551314,3.17,6.7,22.6,27.7,97.78,Europe,High income
France,1965,4354661049,3.31,7.3,20.6,24.3,955.59,Europe,High income
Germany,1965,1488128430,3.4,6.88,20.8,27.2,2642.34,Europe,High income
Ghana,1965,965073709,3.5,7.21,21.7,20.5,281.08,Africa,Lower middle income
Greece,1965,1226424353,3.29,7.11,19.9,18.2,127.26,Europe,High income
Hungary,1965,1499578166,3.31,6.68,22.2,27.3,260.48,Europe,High income
India,1965,39602400185,3.3,7.37,21.1,26.8,6104.72,Asia,Lower middle income
Indonesia,1965,11376027792,3.32,6.73,20.7,20.0,1251.71,Asia,Lower middle income
Iran,1965,3752052307,3.36,6.9,20.2,25.6,791.22,Asia,Upper middle income
Iraq,1965,1936444109,3.32,6.64,20.8,22.7,1308.02,Asia,Upper middle income
Ireland,1965,157731185,3.08,6.73,20.3,25.7,37.06,Europe,High income
Israel,1965,2011154086,2.96,6.63,21.3,26.2,227.18,Asia,High income
Italy,1965,1647912927,3.27,7.51,21.1,26.3,1231.79,Europe,High income
Japan,1965,4842170706,3.4,7.54,22.2,21.6,516.12,Asia,High income
Jordan,1965,3106432405,3.15,7.3,22.6,27.3,1516.21,Asia,Upper middle income
Kenya,1965,3223313153,3.39,6.66,21.0,20.8,1058.35,Africa,Lower middle income
Malaysia,1965,2717326769,3.34,7.32,23.4,21.8,338.88,Asia,Upper middle income
Mexico,1965,2464271390,3.47,6.78,23.3,20.2,755.24,North America,Upper middle income
Morocco,1965,327024615,3.19,7.21,21.3,25.4,143.18,Africa,Lower middle income
Myanmar,1965,2222392133,3.13,7.07,20.2,21.5,555.54,Asia,Lower middle income
Netherlands,1965,1430139613,3.3,7.48,20.1,24.0,215.13,Europe,High income
New Zealand,1965,403106148,3.37,7.01,21.5,18.1,58.27,Oceania,High income
Nigeria,1965,25932095677,2.97,6.97,23.4,22.2,5165.81,Africa,Lower middle income
Norway,1965,116884532,3.38,7.18,22.7,26.6,25.58,Europe,High income
Pakistan,1965,45996241360,3.18,7.57,22.3,18.8,5329.97,Asia,Lower middle income
Peru,1965,854883347,2.99,7.15,21.2,26.8,418.91,South America,Upper middle income
Philippines,1965,4653182965,3.28,6.65,23.4,23.1,1599.32,Asia,Lower middle income
Poland,1965,1028977072,3.46,6.9,20.3,19.3,345.38,Europe,High income
Portugal,1965,1735617131,3.23,6.83,20.2,21.3,184.65,Europe,High income
Romania,1965,1795007122,3.54,7.09,20.2,26.9,389.87,Europe,Upper middle income
Russia,1965,10581266767,3.54,6.65,19.9,25.2,3753.6,Europe,Upper middle income
Saudi Arabia,1965,3163369706,2.97,6.62,22.6,19.3,676.26,Asia,High income
Singapore,1965,2569331438,3.21,6.63,22.6,18.1,337.22,Asia,High income
South Africa,1965,3147246605,3.21,7.14,21.4,21.9,354.64,Africa,Upper middle income
South Korea,1965,2997749985,3.15,7.22,23.2,27.6,588.94,Asia,High income
Spain,1965,1970972405,3.12,7.56,20.1,23.8,697.39,Europe,High income
Sri Lanka,1965,3018437679,3.19,7.6,19.7,23.8,3651.46,Asia,Lower middle income
Sweden,1965,289875852,3.21,7.11,20.5,21.2,332.97,Europe,High income
Switzerland,1965,643564874,3.53,7.54,20.8,23.7,70.75,Europe,High income
Taiwan,1965,148125123,3.44,7.55,19.9,19.6,15.42,Asia,High income
Tanzania,1965,1076591000,2.96,6.86,21.3,24.9,146.84,Africa,Low income
Thailand,1965,3024998854,3.12,7.14,21.6,22.1,1787.35,Asia,Upper middle income
Turkey,1965,2313320120,3.46,7.1,21.9,20.3,425.37,Asia,Upper middle income
Ukraine,1965,2756016468,3.26,7.59,21.9,21.7,356.92,Europe,Lower middle income
United Kingdom,1965,2746158567,3.18,6.95,21.2,25.8,567.12,Europe,High income
United States,1965,15264138334,3.3,6.94,22.7,20.4,6800.37,North America,High income
Uzbekistan,1965,1792592275,3.11,6.61,22.1,23.1,402.31,Asia,Lower middle income
Venezuela,1965,474805124,3.29,7.46,20.1,23.7,54.7,South America,Upper middle income
Vietnam,1965,5443804172,3.38,6.97,19.9,22.6,1379.79,Asia,Lower middle income
Yemen,1965,251035952,3.1,7.57,23.3,20.5,72.11,Asia,Lower middle income
Zimbabwe,1965,3306184476,3.53,7.04,20.8,23.3,480.69,Africa,Lower middle income
Angola,1965,2528258655,3.39,6.65,19.7,21.9,715.13,Africa,Lower middle income
Azerbaijan,1965,652818137,3.24,6.92,20.3,21.1,66.96,Asia,Upper middle income
Belarus,1965,19805285,3.22,7.18,23.4,20.4,2.91,Europe,Upper middle income
Belize,1965,2714012481,3.31,6.69,22.2,18.6,455.23,North America,Upper middle income
Benin,1965,2354843590,3.08,7.44,19.6,26.4,511.5,Africa,Lower middle income
Bhutan,1965,2381822853,3.03,7.55,19.8,20.0,684.65,Asia,Lower middle income
Bolivia,1965,2557900973,3.28,6.73,20.7,20.4,1197.4,South America,Lower middle income
Botswana,1965,245150238,3.37,6.82,21.0,21.9,25.11,Africa,Upper middle income
Brunei,1965,1204608256,3.43,6.84,19.8,21.2,451.39,Asia,High income
Burkina Faso,1965,384048576,3.42,7.46,22.9,21.6,55.88,Africa,Low income
Burundi,1965,2829679819,2.99,7.3,19.5,22.1,858.92,Africa,Low income
Cambodia,1965,2073104815,3.41,6.9,22.7,20.9,464.42,Asia,Lower middle income
Cameroon,1965,1102733256,3.37,7.59,20.4,24.6,180.86,Africa,Lower middle income
Cape Verde,1965,214650618,3.04,7.35,21.8,20.7,45.24,Africa,Lower middle income
Central African Republic,1965,1021399650,3.3,7.49,21.8,24.3,196.88,Africa,Low income
Chad,1965,1056761005,3.09,7.09,20.7,19.8,209.6,Africa,Low income
Comoros,1965,2393153398,3.1,7.06,20.0,27.3,275.8,Africa,Lower middle income
Congo,1965,2121617021,3.01,7.38,22.7,25.7,1860.18,Africa,Lower middle income
Costa Rica,1965,2944764387,3.45,7.18,22.1,22.6,556.92,North America,Upper middle income
Cuba,1965,1532879544,3.33,6.68,21.2,20.9,281.02,North America,Upper middle income
Cyprus,1965,390875351,3.36,7.4,20.2,19.0,268.46,Asia,High income
Djibouti,1965,2388281541,3.27,7.07,19.9,24.5,275.14,Africa,Lower middle income
Dominican Republic,1965,2542731052,3.33,6.68,19.9,18.5,987.26,North America,Upper middle income
Ecuador,1965,1828588104,3.11,6.99,23.3,24.1,219.0,South America,Upper middle income
El Salvador,1965,2565480483,3.02,7.34,20.6,24.4,752.28,North America,Upper middle income
Equatorial Guinea,1965,1661393712,3.11,6.88,23.2,18.2,238.46,Africa,Upper middle income
Eritrea,1965,1740957228,3.45,7.57,23.4,18.7,211.83,Africa,Low income
Estonia,1965,1420046031,3.34,6.73,22.1,27.8,155.74,Europe,High income
Fiji,1965,85328044,2.97,6.96,22.8,25.0,18.57,Oceania,Upper middle income
Gabon,1965,351755365,3.21,7.07,23.2,24.4,112.84,Africa,Upper middle income
Gambia,1965,105451444,2.99,7.57,20.9,22.8,29.68,Africa,Low income
Georgia,1965,2115826522,3.35,7.32,20.6,21.2,1688.09,Asia,Upper middle income
Guatemala,1965,1044907131,2.97,7.2,23.0,26.9,232.67,North America,Upper middle income
Guinea,1965,1677150031,3.0,7.27,22.8,20.4,398.03,Africa,Low income
Guinea-Bissau,1965,3034188873,3.48,6.84,21.7,19.9,2975.61,Africa,Low income
Guyana,1965,836892973,3.44,7.36,19.7,26.4,191.03,South America,Upper middle income
Haiti,1965,1347782646,3.28,6.69,22.5,23.8,722.01,North America,Lower middle income
Honduras,1965,2465785258,3.06,6.66,21.9,26.4,14012.96,North America,Lower middle income
Iceland,1965,743955427,3.29,7.42,20.8,21.5,124.74,Europe,High income
Jamaica,1965,253505717,2.97,7.34,22.0,23.8,34.18,North America,Upper middle income
Kazakhstan,1965,963959351,3.07,6.95,20.0,19.3,142.55,Asia,Upper middle income
Kuwait,1965,540768598,3.53,7.23,20.2,19.1,66.53,Asia,High income
Kyrgyzstan,1965,3078226279,3.32,7.38,22.3,26.3,5466.74,Asia,Lower middle income
Laos,1965,2692749981,3.46,6.89,22.1,21.1,281.09,Asia,Lower middle income
Latvia,1965,2055495405,3.3,6.77,22.3,19.8,872.97,Europe,High income
Lebanon,1965,2876456494,3.5,6.81,20.1,25.6,574.52,Asia,Upper middle income
Lesotho,1965,2694327616,3.04,7.25,20.4,19.6,394.22,Africa,Lower middle income
Liberia,1965,619400169,3.4,6.91,21.3,22.1,62.94,Africa,Low income
Libya,1965,2923948252,3.13,6.95,21.8,20.5,319.45,Africa,Upper middle income
Lithuania,1965,1765737621,3.49,6.7,22.1,27.1,1045.85,Europe,High income
Luxembourg,1965,2712639259,3.22,7.55,22.2,21.0,1439.95,Europe,High income
Madagascar,1965,2936771049,3.01,6.74,19.9,22.2,369.13,Africa,Low income
Malawi,1965,1036952578,3.03,7.24,20.3,19.0,621.18,Africa,Low income
Maldives,1965,370562246,3.44,6.95,22.1,23.4,54.72,Asia,Upper middle income
Mali,1965,758870277,3.33,6.87,19.7,22.6,85.17,Africa,Low income
Malta,1965,1414560036,3.45,7.59,20.2,24.9,209.77,Europe,High income
Mauritania,1965,2749329337,3.54,7.29,20.5,26.0,2566.63,Africa,Lower middle income
Mauritius,1965,2871483424,3.5,6.98,22.0,22.3,655.86,Africa,Upper middle income
Moldova,1965,24416193,3.41,7.54,23.3,19.7,2.79,Europe,Upper middle income
Mongolia,1965,1701843354,3.1,6.67,20.6,27.1,268.76,Asia,Lower middle income
Montenegro,1965,1390298341,3.1,7.32,19.6,21.8,221.81,Europe,Upper middle income
Mozambique,1965,724872610,3.44,6.84,22.1,22.1,121.61,Africa,Low income
Namibia,1965,391378087,2.96,7.51,20.6,26.2,39.16,Africa,Upper middle income
Nepal,1965,1103684500,3.11,7.26,23.4,27.2,219.45,Asia,Lower middle income
Nicaragua,1965,3147166799,3.03,7.58,23.4,19.6,1050.83,North America,Lower middle income
Niger,1965,1052259100,3.11,7.42,21.0,18.9,307.42,Africa,Low income
North Korea,1965,1744350740,3.33,7.02,20.2,27.9,212.5,Asia,Lower middle income
Oman,1965,2302453606,2.99,6.66,20.0,23.8,247.9,Asia,High income
Panama,1965,1201311090,3.46,7.05,22.3,25.3,690.22,North America,High income
Papua New Guinea,1965,3191527691,3.33,6.67,20.9,23.3,320.36,Oceania,Lower middle income
Paraguay,1965,3174260783,3.44,7.03,22.7,24.0,358.02,South America,Upper middle income
Qatar,1965,829656486,3.31,7.23,21.2,19.4,885.91,Asia,High income
Rwanda,1965,1612988655,3.47,6.84,20.3,25.4,503.93,Africa,Low income
Senegal,1965,994630969,3.05,7.56,22.9,26.6,244.48,Africa,Lower middle income
Serbia,1965,950724223,3.04,6.61,19.6,23.9,208.74,Europe,Upper middle income
Sierra Leone,1965,123442899,2.95,7.02,22.4,22.4,16.86,Africa,Low income
Slovakia,1965,1992992338,3.44,7.19,20.3,20.4,317.32,Europe,High income
Slovenia,1965,1680753483,3.2,6.86,23.0,24.7,375.05,Europe,High income
Somalia,1965,171428927,3.07,7.23,20.9,28.0,35.7,Africa,Low income
Sudan,1965,920568503,3.29,7.52,22.7,22.5,128.08,Africa,Lower middle income
Suriname,1965,3008141084,3.25,6.79,21.4,20.5,328.81,South America,Upper middle income
Syria,1965,787248831,3.52,7.13,22.0,23.4,608.07,Asia,Lower middle income
Tajikistan,1965,477521019,3.01,7.22,21.3,25.8,216.52,Asia,Lower middle income
Togo,1965,1596521241,3.19,7.53,22.3,22.2,308.61,Africa,Low income
Trinidad and Tobago,1965,3203763163,3.54,7.27,20.6,23.9,2923.9,North America,High income
Tunisia,1965,814298708,3.05,7.25,20.5,25.2,104.82,Africa,Lower middle income
Turkmenistan,1965,2233750531,3.32,7.49,19.8,21.3,899.39,Asia,Upper middle income
Uganda,1965,2560667890,3.18,7.33,22.2,20.1,1071.08,Africa,Low income
United Arab Emirates,1965,779363625,3.2,6.83,19.6,26.8,80.71,Asia,High income
Uruguay,1965,2390269184,3.15,6.61,22.2,26.3,1629.43,South America,High income
Zambia,1965,1199838943,3.42,7.22,19.7,24.2,388.31,Africa,Lower middle income
Afghanistan,1966,2475783708,3.36,7.33,21.4,28.1,609.02,Asia,Low income
Albania,1966,6393388103,3.19,7.42,23.4,19.5,682.69,Europe,Upper middle income
Algeria,1966,4935105351,3.37,6.72,23.0,27.1,1706.34,Africa,Lower middle income
Argentina,1966,4059625947,2.93,6.67,22.0,24.4,629.22,South America,Upper middle income
Australia,1966,1017092149,3.48,6.56,20.4,18.7,179.41,Oceania,High income
Austria,1966,1059393439,3.3,7.34,19.9,24.0,230.49,Europe,High income
Bangladesh,1966,9117847819,2.94,7.2,21.8,26.3,1878.64,Asia,Lower middle income
Belgium,1966,5665364392,3.29,6.69,23.3,24.7,3601.9,Europe,High income
Brazil,1966,62503823331,3.21,6.59,22.3,21.1,7776.88,South America,Upper middle income
Bulgaria,1966,4772296689,3.49,7.02,21.6,26.1,3600.17,Europe,Upper middle income
Canada,1966,140301309,3.23,6.61,21.5,27.1,16.39,North America,High income
Chile,1966,6329223957,2.95,6.78,23.3,19.9,879.03,South America,High income
China,1966,84389586414,3.27,6.88,23.0,20.9,13201.59,Asia,Upper middle income
Colombia,1966,1396693962,3.33,7.39,20.3,27.3,235.29,South America,Upper middle income
Croatia,1966,1190650509,3.16,6.68,22.6,26.2,1124.47,Europe,High income
Czech Republic,1966,1221505138,3.39,7.46,21.9,28.1,228.01,Europe,High income
Denmark,1966,2014012987,3.41,7.01,21.7,23.5,237.84,Europe,High income
Egypt,1966,3539874301,3.14,6.85,21.8,24.3,1484.76,Africa,Lower middle income
Ethiopia,1966,2909457567,3.19,6.85,20.2,21.0,306.49,Africa,Lower middle income
Finland,1966,1920342859,3.0,6.98,21.0,19.0,594.14,Europe,High income
France,1966,8662541343,3.23,6.88,21.6,28.3,2295.26,Europe,High income
Germany,1966,2964605945,3.05,6.98,22.8,20.7,417.95,Europe,High income
Ghana,1966,1902023652,3.15,7.3,21.2,24.2,927.55,Africa,Lower middle income
Greece,1966,2462507132,2.93,7.37,20.6,27.3,698.4,Europe,High income
Hungary,1966,3062021047,3.09,7.43,20.3,20.4,621.0,Europe,High income
India,1966,79742875542,3.02,7.46,23.7,22.4,8636.78,Asia,Lower middle income
Indonesia,1966,22601867529,3.06,7.22,22.4,28.5,8525.12,Asia,Lower middle income
Iran,1966,7535801959,2.93,6.63,19.8,28.6,939.28,Asia,Upper middle income
Iraq,1966,3987798025,3.21,6.82,20.4,21.4,1060.49,Asia,Upper middle income
Ireland,1966,315350579,3.22,6.6,19.9,19.6,76.81,Europe,High income
Israel,1966,4116339201,3.28,7.32,21.7,22.2,3794.23,Asia,High income
Italy,1966,3424871788,3.37,6.69,21.8,23.5,547.87,Europe,High income
Japan,1966,9781036261,3.25,7.06,20.0,19.2,5218.56,Asia,High income
Jordan,1966,6173594923,3.35,7.24,20.3,27.0,3986.29,Asia,Upper middle income
Kenya,1966,6358562283,3.05,6.89,20.8,23.5,1560.51,Africa,Lower middle income
Malaysia,1966,5489099375,2.93,6.66,20.0,24.9,10052.59,Asia,Upper middle income
Mexico,1966,5046601880,3.21,7.05,22.0,20.3,2551.75,North America,Upper middle income
Morocco,1966,646627828,3.26,6.73,20.3,28.3,2928.62,Africa,Lower middle income
Myanmar,1966,4608627132,3.37,6.82,20.3,20.1,660.77,Asia,Lower middle income
Netherlands,1966,2944755388,3.37,7.46,22.6,20.2,1209.25,Europe,High income
New Zealand,1966,826203817,3.03,6.59,22.6,22.6,89.8,Oceania,High income
Nigeria,1966,52406491234,2.95,7.47,20.8,22.0,13026.07,Africa,Lower middle income
Norway,1966,227062919,3.2,6.64,21.4,22.1,29.38,Europe,High income
Pakistan,1966,93807633534,2.99,6.89,21.3,20.1,11748.37,Asia,Lower middle income
Peru,1966,1737683062,3.01,6.89,20.2,24.9,1430.67,South America,Upper middle income
Philippines,1966,9454099733,3.37,6.91,22.1,27.7,1706.07,Asia,Lower middle income
Poland,1966,2043187075,3.13,7.36,22.4,25.1,235.71,Europe,High income
Portugal,1966,3517988110,3.45,6.61,22.0,26.0,464.76,Europe,High income
Romania,1966,3650963929,3.0,7.32,22.7,19.5,787.08,Europe,Upper middle income
Russia,1966,20823171197,3.1,6.54,21.4,24.1,3360.63,Europe,Upper middle income
Saudi Arabia,1966,6488784820,3.4,6.74,20.3,27.1,4140.97,Asia,High income
Singapore,1966,5260603066,3.41,7.02,23.7,19.6,1735.4,Asia,High income
South Africa,1966,6280459317,3.11,7.45,20.1,24.1,1062.85,Africa,Upper middle income
South Korea,1966,5985866483,3.05,6.88,23.2,20.5,723.91,Asia,High income
Spain,1966,3984652283,3.36,7.23,20.6,24.3,459.2,Europe,High income
Sri Lanka,1966,6106226656,3.48,6.97,20.4,22.5,641.61,Asia,Lower middle income
Sweden,1966,586188555,3.42,7.4,21.2,19.4,80.9,Europe,High income
Switzerland,1966,1293744237,3.37,6.96,21.7,26.4,338.3,Europe,High income
Taiwan,1966,302870677,3.13,6.89,21.9,26.7,83.7,Asia,High income
Tanzania,1966,2165936064,3.3,6.79,20.9,27.9,299.34,Africa,Low income
Thailand,1966,5997308312,3.29,6.55,22.3,23.7,1098.82,Asia,Upper middle income
Turkey,1966,4544958340,2.95,6.71,23.6,22.7,973.77,Asia,Upper middle income
Ukraine,1966,5397200287,2.92,7.24,22.0,23.7,2219.24,Europe,Lower middle income
United Kingdom,1966,5656369447,3.0,6.71,21.6,21.5,2285.05,Europe,High income
United States,1966,30582327736,3.29,7.34,21.5,19.3,11172.07,North America,High income
Uzbekistan,1966,3684999770,3.26,7.23,19.8,23.8,9794.04,Asia,Lower middle income
Venezuela,1966,941999708,3.45,7.49,22.0,23.2,99.68,South America,Upper middle income
Vietnam,1966,11006690707,2.94,6.99,20.8,23.3,2416.29,Asia,Lower middle income
Yemen,1966,500187133,3.11,6.68,21.8,26.9,75.32,Asia,Lower middle income
Zimbabwe,1966,6509272802,3.46,7.43,20.6,19.0,878.05,Africa,Lower middle income
Angola,1966,5206772844,3.48,7.41,22.2,23.9,18636.71,Africa,Lower middle income
Azerbaijan,1966,1307936700,3.18,7.15,22.0,26.0,467.39,Asia,Upper middle income
Belarus,1966,40106103,2.95,6.93,22.8,25.5,4.05,Europe,Upper middle income
Belize,1966,5364627556,3.2,6.85,21.6,27.2,784.03,North America,Upper middle income
Benin,1966,4777850688,3.02,7.39,20.0,27.5,1451.61,Africa,Lower middle income
Bhutan,1966,4804106966,3.21,7.46,20.0,22.1,560.84,Asia,Lower middle income
Bolivia,1966,5100980654,3.02,6.94,21.3,27.8,669.46,South America,Lower middle income
Botswana,1966,495108520,3.49,6.99,20.0,21.2,113.52,Africa,Upper middle income
Brunei,1966,2347310197,3.47,7.29,20.9,24.5,325.35,Asia,High income
Burkina Faso,1966,788079826,3.43,7.04,22.9,24.2,142.57,Africa,Low income
Burundi,1966,5636524066,2.98,7.05,20.9,18.8,779.75,Africa,Low income
Cambodia,1966,4056392329,3.26,7.06,23.7,23.4,6368.46,Asia,Lower middle income
Cameroon,1966,2205647972,3.4,7.52,21.5,21.8,243.27,Africa,Lower middle income
Cape Verde,1966,419529580,3.27,6.93,20.0,22.1,158.13,Africa,Lower middle income
Central African Republic,1966,2085572860,3.47,6.79,23.0,19.2,387.53,Africa,Low income
Chad,1966,2121449145,3.46,7.29,22.4,26.8,327.61,Africa,Low income
Comoros,1966,4950544104,3.33,7.44,21.9,19.8,937.2,Africa,Lower middle income
Congo,1966,4166706465,3.26,7.0,22.3,18.7,2137.64,Africa,Lower middle income
Costa Rica,1966,5892336477,3.47,6.9,21.5,25.7,975.82,North America,Upper middle income
Cuba,1966,3110843523,3.15,6.74,23.7,19.9,836.47,North America,Upper middle income
Cyprus,1966,780709334,3.03,7.3,20.6,19.4,164.53,Asia,High income
Djibouti,1966,4636607386,2.95,7.33,22.9,27.8,542.59,Africa,Lower middle income
Dominican Republic,1966,5096623607,2.93,7.3,23.2,26.6,1002.23,North America,Upper middle income
Ecuador,1966,3686035781,3.41,7.25,23.7,20.2,1632.85,South America,Upper middle income
El Salvador,1966,5057111118,3.38,6.71,20.1,28.6,20297.68,North America,Upper middle income
Equatorial Guinea,1966,3331709595,3.12,7.36,22.0,27.6,359.72,Africa,Upper middle income
Eritrea,1966,3398877012,2.95,6.77,22.5,27.5,738.89,Africa,Low income
Estonia,1966,2855904760,3.01,7.32,23.7,21.3,577.09,Europe,High income
Fiji,1966,168952384,3.24,7.02,20.4,23.0,50.56,Oceania,Upper middle income
Gabon,1966,720448102,3.25,6.53,22.8,25.7,196.66,Africa,Upper middle income
Gambia,1966,207818934,3.35,7.48,20.8,21.8,113.01,Africa,Low income
Georgia,1966,4243792649,2.99,6.88,22.6,24.2,1097.94,Asia,Upper middle income
Guatemala,1966,2083279523,3.24,6.53,20.1,27.4,2671.86,North America,Upper middle income
Guinea,1966,3411703181,3.45,6.79,21.3,24.3,386.94,Africa,Low income
Guinea-Bissau,1966,6149809088,3.34,6.61,22.5,22.7,1306.37,Africa,Low income
Guyana,1966,1625546833,3.01,7.31,21.6,21.6,423.23,South America,Upper middle income
Haiti,1966,2771847136,3.35,6.79,20.3,21.1,301.04,North America,Lower middle income
Honduras,1966,5038684680,3.22,7.12,21.3,26.7,962.8,North America,Lower middle income
Iceland,1966,1496707629,2.98,7.06,23.5,21.7,172.12,Europe,High income
Jamaica,1966,520586848,3.05,6.56,20.2,25.9,260.62,North America,Upper middle income
Kazakhstan,1966,1916279731,3.2,7.25,20.3,22.7,395.01,Asia,Upper middle income
Kuwait,1966,1075828744,3.39,6.69,23.0,25.5,193.52,Asia,High income
Kyrgyzstan,1966,6231998263,3.15,6.66,22.5,23.8,974.65,Asia,Lower middle income
Laos,1966,5330680244,3.44,7.11,20.1,23.1,704.76,Asia,Lower middle income
Latvia,1966,4264890148,3.2,7.41,20.9,22.7,474.61,Europe,High income
Lebanon,1966,5893290325,3.31,7.38,20.2,27.2,1837.7,Asia,Upper middle income
Lesotho,1966,5263603398,3.04,6.94,20.8,21.8,3897.09,Africa,Lower middle income
Liberia,1966,1230920645,3.24,6.96,21.2,26.1,137.76,Africa,Low income
Libya,1966,5998483350,3.1,7.26,20.4,19.9,1735.21,Africa,Upper middle income
Lithuania,1966,3634244151,3.05,6.58,20.3,27.2,573.39,Europe,High income
Luxembourg,1966,5306024098,3.23,7.05,22.4,20.9,613.83,Europe,High income
Madagascar,1966,5903046233,3.32,6.54,21.3,22.1,1086.06,Africa,Low income
Malawi,1966,2074884113,3.37,6.74,22.5,26.6,369.25,Africa,Low income
Maldives,1966,742028190,3.3,6.88,23.0,21.5,129.89,Asia,Upper middle income
Mali,1966,1533571352,3.13,6.82,21.6,26.8,164.91,Africa,Low income
Malta,1966,2845140434,3.3,7.42,20.2,20.9,401.33,Europe,High income
Mauritania,1966,5514221878,3.41,6.94,20.2,23.0,2389.06,Africa,Lower middle income
Mauritius,1966,5665626951,3.36,6.6,23.1,22.9,950.44,Africa,Upper middle income
Moldova,1966,48585158,3.1,6.61,23.6,26.7,10.57,Europe,Upper middle income
Mongolia,1966,3353093612,3.46,6.86,20.4,24.2,355.28,Asia,Lower middle income
Montenegro,1966,2714074267,3.04,7.46,20.5,19.7,475.96,Europe,Upper middle income
Mozambique,1966,1502228065,3.19,7.51,22.5,19.3,151.31,Africa,Low income
Namibia,1966,795972022,3.07,7.08,21.0,19.5,52085.58,Africa,Upper middle income
Nepal,1966,2240111840,3.4,7.09,23.8,21.5,798.54,Asia,Lower middle income
Nicaragua,1966,6169827626,3.0,6.81,23.0,27.7,632.74,North America,Lower middle income
Niger,1966,2123881647,3.43,6.85,20.3,27.3,333.87,Africa,Low income
North Korea,1966,3396879717,3.16,6.81,22.7,23.1,343.37,Asia,Lower middle income
Oman,1966,4579362759,3.11,7.0,21.8,21.8,627.94,Asia,High income
Panama,1966,2458674070,3.46,7.33,23.2,24.1,297.69,North America,High income
Papua New Guinea,1966,6399705293,3.14,6.84,21.7,21.5,665.52,Oceania,Lower middle income
Paraguay,1966,6340911885,2.96,7.05,20.0,19.7,2889.23,South America,Upper middle income
Qatar,1966,1672547869,3.16,7.32,22.8,22.9,501.11,Asia,High income
Rwanda,1966,3278156565,3.36,6.57,19.9,26.6,686.96,Africa,Low income
Senegal,1966,1968444997,3.04,7.45,23.2,25.7,408.16,Africa,Lower middle income
Serbia,1966,1896449635,3.49,7.49,20.7,26.7,961.09,Europe,Upper middle income
Sierra Leone,1966,245099053,3.31,6.93,23.5,19.5,47.91,Africa,Low income
Slovakia,1966,4127312853,3.44,6.68,21.3,24.8,2588.0,Europe,High income
Slovenia,1966,3411706576,3.45,6.69,20.3,19.5,375.14,Europe,High income
Somalia,1966,340454747,3.15,6.97,22.2,19.3,150.09,Africa,Low income
Sudan,1966,1889622063,3.45,7.3,19.9,21.9,300.9,Africa,Lower middle income
Suriname,1966,5974058246,3.45,7.15,20.1,27.7,623.75,South America,Upper middle income
Syria,1966,1564227324,3.22,6.82,21.4,20.4,270.57,Asia,Lower middle income
Tajikistan,1966,985381862,3.2,6.6,22.3,22.0,115.12,Asia,Lower middle income
Togo,1966,3243917543,3.02,6.71,22.9,21.3,422.79,Africa,Low income
Trinidad and Tobago,1966,6462688840,3.09,6.99,23.6,27.9,3122.81,North America,High income
Tunisia,1966,1600448782,2.99,7.03,21.6,27.6,172.09,Africa,Lower middle income
Turkmenistan,1966,4443272261,3.2,7.42,23.0,18.6,1387.97,Asia,Upper middle income
Uganda,1966,5042990339,3.04,6.72,20.0,25.0,1920.52,Africa,Low income
United Arab Emirates,1966,1549925173,3.04,7.32,23.2,23.4,372.46,Asia,High income
Uruguay,1966,4943080610,3.02,6.74,21.0,20.3,1302.77,South America,High income
Zambia,1966,2490720494,3.27,6.93,23.5,19.1,1184.05,Africa,Lower middle income
Afghanistan,1967,5029012326,3.22,6.48,21.7,25.7,720.38,Asia,Low income
Albania,1967,12803163984,3.04,6.53,21.8,20.5,1351.07,Europe,Upper middle income
Algeria,1967,9775879123,3.04,7.21,22.1,22.3,1203.95,Africa,Lower middle income
Argentina,1967,8161210557,3.25,6.49,22.4,26.8,5975.0,South America,Upper middle income
Australia,1967,2062209623,3.38,6.46,23.1,23.9,461.52,Oceania,High income
Austria,1967,2038150854,3.34,6.8,22.3,26.0,290.06,Europe,High income
Bangladesh,1967,18710947849,3.17,6.84,23.9,25.6,6274.2,Asia,Lower middle income
Belgium,1967,11358057085,3.36,6.8,22.7,23.9,5707.28,Europe,High income
Brazil,1967,123874529999,2.89,6.85,22.3,23.6,16545.34,South America,Upper middle income
Bulgaria,1967,9631891508,3.31,6.48,20.9,24.6,1030.34,Europe,Upper middle income
Canada,1967,286717498,3.36,6.74,21.8,23.9,182.09,North America,High income
